嗚呼;ꜛあꜜあ
愛好家;あꜛいこうか
愛好者;あꜛいこꜜうしゃ
愛校心;あꜛいこꜜうしん
愛国;あꜛいこく
愛国者;あꜛいこꜜく*しゃ
愛国者;あꜛいこく*ꜜしゃ
愛国心;あꜛいこく*ꜜしん
愛国心;あꜛいこꜜく*しん
合言葉;あꜛいこꜜとば
アイコノスコープ;あꜛいこのす*こꜜうぷ
間駒;あꜛいご~ま
アイコン;あꜛいこん
アイコン;ꜛあꜜいこん
愛妻;あꜛいさい
愛妻家;あꜛいさいか
挨拶;ꜛあꜜいさつ
哀史;ꜛあꜜいし
愛児;ꜛあꜜいじ
アイシー;あꜛいしꜜい
愛車;あꜛいしゃ
アイシャドー;あꜛいしゃꜜどう
哀愁;あꜛいしゅう
相性;あꜛいしょꜜう
愛称;あꜛいしょう
愛唱;あꜛいしょう
愛しょう;あꜛいしょう
愛誦;あꜛいしょう
愛妾;あꜛいしょう
愛情;あꜛいじょう
愛嬢;あꜛいじょう
愛唱歌;あꜛいしょꜜうか
合い印;あꜛいじꜜるし
愛人;あꜛいじん
アイシング;ꜛあꜜいしんぐ~
愛す;ꜛあꜜいす
アイス;ꜛあꜜいす
合図;ꜛあꜜいず
アイスキャンデー;あꜛいす*きゃꜜんでえ
アイスクリーム;あꜛいす*くりꜜいむ
アイスコーヒー;あꜛいすこうひꜜい
アイスコーヒー;あꜛいすこꜜうひい
アイススケート;あꜛいすす*けꜜえと
アイスダンス;あꜛいすだꜜんす
相づち;あꜛいずち
相槌;あꜛいずち
相づち;あꜛいづち
相槌;あꜛいづち
相づち;あꜛいずちꜜ
相槌;あꜛいずちꜜ
相づち;あꜛいづちꜜ
相槌;あꜛいづちꜜ
相づち;あꜛいずꜜち
相槌;あꜛいずꜜち
相づち;あꜛいづꜜち
相槌;あꜛいづꜜち
アイスティー;あꜛいす*てぃꜜい
アイスティー;あꜛいす*ꜜてぃい
アイスバーン;あꜛいすばꜜあん
アイスボックス;あꜛいすぼꜜっく*す
アイスホッケー;あꜛいす*ほꜜっけえ
愛する;あꜛいすꜜる
哀惜;あꜛいせき
愛惜;あꜛいせき
相席;あꜛいせき
哀切;あꜛいせつ
アイゼン;ꜛあꜜいぜん
哀訴;ꜛあꜜいそ
愛想;あꜛいそꜜ
愛想;あꜛいそꜜう
愛憎;あꜛいぞう
愛蔵;あꜛいぞう
愛息;あꜛいそく
愛想尽かし;あꜛいそずꜜかし
愛想尽かし;あꜛいそづꜜかし
アイソトープ;あꜛいそとꜜうぷ
愛想笑い;あꜛいそわꜜらい
愛孫;あꜛいそん
間;あꜛいだ
相対;あꜛいたい
相対;ꜛあꜜいたい
相対ずく;あꜛいたいずく
相対ずく;あꜛいたいずくꜜ
相互いに;ꜛあꜜいたが~いに
間柄;あꜛいだが~ら
間食い;あꜛいだぐ~い
あい玉;あꜛいだま
藍玉;あꜛいだま
愛知;ꜛあꜜいち
愛着;あꜛいちゃく
愛着;あꜛいじゃく
哀調;あꜛいちょう
愛鳥;あꜛいちょう
彼奴;あꜛいつ
相次ぐ;ꜛあꜜいつぐ~
相手;あꜛいてꜜ
お相手;おꜛあいて
アイデア;ꜛあꜜいであ
アイデア;あꜛいでꜜあ
IDカード;あꜛいでぃいかꜜあど
相手方;あꜛいてかた
相手方;あꜛいてが~た
相弟子;あꜛいでし
相手しだい;あꜛいてしꜜだい
相手取る;あꜛいてどꜜる
アイテム;ꜛあꜜいてむ
相手役;あꜛいてやく
アイデンティティー;あꜛいでꜜんてぃてぃい
哀悼;あꜛいとう
愛読;あꜛいどく
愛読者;あꜛいどꜜく*しゃ
愛読者;あꜛいどく*ꜜしゃ
愛読書;あꜛいどꜜく*しょ
愛読書;あꜛいどく*しょ
相殿;あꜛいどの
相ともに;ꜛあꜜいともに
アイドル;ꜛあꜜいどる
相投げ;あꜛいなげ~
生憎;あꜛいにく
アイヌ;ꜛあꜜいぬ
アイヌ人;あꜛいぬꜜじん
藍鼠;あꜛいねず
藍鼠;あꜛいねꜜずみ
合いの手;あꜛいのꜜて
合いの手;あꜛいのてꜜ
相乗り;あꜛいのり
愛馬;ꜛあꜜいば
アイバンク;あꜛいばꜜんく
逢引;あꜛいびき
合いびき;あꜛいびき
合い挽き;あꜛいびき
合い符;あꜛいふ
愛ぶ;ꜛあꜜいぶ
愛撫;ꜛあꜜいぶ
合服;あꜛいふ*く
合い札;あꜛいふだ
合い札;あꜛいふだꜜ
合い札;あꜛいꜜふだ
相部屋;あꜛいべや
愛慕;ꜛあꜜいぼ
相棒;あꜛいぼう
相棒;あꜛいぼꜜう
相星;あꜛいぼし
アイボリー;ꜛあꜜいぼりい
間馬;あꜛいま
合間;あꜛいま
合間;あꜛいまꜜ
曖昧;あꜛいまい
相まって;ꜛあꜜいまって
相身互い;ꜛあꜜいみたが~い
相役;あꜛいやく
相宿;あꜛいやど
相宿;あꜛいやꜜど
愛用;あꜛいよう
愛用者;あꜛいよꜜうしゃ
愛欲;あꜛいよく
相四つ;あꜛいよつ
アイライン;あꜛいらꜜいん
哀楽;あꜛいらく
哀楽;ꜛあꜜいらく
愛らしい;あꜛいらしꜜい
アイリス;ꜛあꜜいりす
隘路;ꜛあꜜいろ
アイロニー;ꜛあꜜいろにい
アイロン;あꜛいろん
哀話;あꜛいわ
合う;ꜛあꜜう
会う;ꜛあꜜう
逢う;ꜛあꜜう
遭う;ꜛあꜜう
アウト;ꜛあꜜうと
アウトウエア;あꜛうとうえꜜあ
アウトカーブ;あꜛうとかꜜあぶ
アウトコース;あꜛうとこꜜうす
アウトコーナー;あꜛうとこꜜうなあ
アウトサイダー;あꜛうとさꜜいだあ
アウトサイド;あꜛうとさꜜいど
アウトシュート;あꜛうとしゅꜜうと
アウトドア;あꜛうとどꜜあ
アウトバーン;あꜛうとばꜜあん
アウトプット;あꜛうとぷ*ꜜっと
アウトライン;あꜛうとらꜜいん
アウトロー;あꜛうとろꜜう
アウトロー;あꜛうとꜜろう
阿吽;あꜛうん
阿吽;ꜛあꜜうん
喘ぎ;あꜛえぎ~ꜜ
喘ぎ喘ぎ;あꜛえぎ~あꜜえぎ~
喘ぎ喘ぎ;あꜛえꜜぎ~あえぎ~
喘ぎ喘ぎ;あꜛえぎ~あえꜜぎ~
喘ぐ;あꜛえꜜぐ~
敢えて;ꜛあꜜえて
敢えない;あꜛえなꜜい
敢えない;あꜛえꜜない
敢えなく;あꜛえꜜなく
あえ物;あꜛえꜜもの
和物;あꜛえꜜもの
和える;あꜛえꜜる
亜鉛;あꜛえん
亜鉛;ꜛあꜜえん
亜鉛華;あꜛえんか
青;ꜛあꜜお
青々;あꜛおあꜜお
青あざ;あꜛおあざ
青痣;あꜛおあざ
青あらし;あꜛおあꜜらし
青嵐;あꜛおあꜜらし
青い;あꜛおꜜい
葵;あꜛおい
青息吐息;ꜛあおꜜいきとꜛいき
青息吐息;ꜛあおꜜいきꜛとꜜいき
青息吐息;あꜛおいき*とꜜいき
葵祭;あꜛおいまꜜつり
青色;あꜛおいろ
青海原;あꜛおうなꜜばら
青海原;あꜛおうꜜなばら
青梅;あꜛおꜜうめ
青梅;あꜛおうめ
青梅漬け;あꜛおうめずけ
青梅漬け;あꜛおうめづけ
青えんどう;あꜛおえꜜんどう
青豌豆;あꜛおえꜜんどう
青鬼;あꜛおおに
青貝;あꜛおꜜが~い
青貝;あꜛおが~い
青蛙;あꜛおが~ꜜえる
青かび;あꜛおかび
青黴;あꜛおかび
青紙;あꜛおが~み
青刈り;あꜛおが~り
青木;あꜛおき
仰ぎ見る;あꜛおぎ~みꜜる
仰ぎ見る;あꜛおぎ~みる
青桐;あꜛおぎ~り
青桐;あꜛおꜜぎ~り
仰ぐ;あꜛおꜜぐ~
扇ぐ;あꜛおꜜぐ~
青草;あꜛおく*さ
青臭い;あꜛおく*さꜜい
青黒い;あꜛおぐ~ろꜜい
青黒い;あꜛおぐ~ろい
青毛;あꜛおげ~
青粉;あꜛおこ
青粉;あꜛおこꜜ
青ごけ;あꜛおご~け
青苔;あꜛおご~け
石蓴;あꜛおさ
青魚;あꜛおざꜜかな
青鷺;あꜛおさぎ~
青侍;あꜛおざꜜむらい
青ざめる;あꜛおざめꜜる
青地;あꜛおじ
青じそ;あꜛおじそ
青紫蘇;あꜛおじそ
青写真;あꜛおじゃꜜしん
青白い;あꜛおじろꜜい
青白い;あꜛおじろい
青信号;あꜛおしꜜんご~う
青筋;あꜛおすじ
青すだれ;あꜛおすꜜだれ
青簾;あꜛおすꜜだれ
青そこひ;あꜛおそꜜこひ
青内障;あꜛおそꜜこひ
青空;あꜛおぞꜜら
青田;あꜛおた
青大将;あꜛおだꜜいしょう
青大将;あꜛおだいしょう
青田売り;あꜛおたうり
青田買い;あꜛおたが~い
青竹;あꜛおだけ
青竹;あꜛおꜜだけ
青畳;あꜛおだꜜたみ
青立ち;あꜛおだち
青っぱな;あꜛおっぱな
青っ洟;あꜛおっぱな
青っぱな;あꜛおꜜっぱな
青っ洟;あꜛおꜜっぱな
青電;あꜛおでん
青電車;あꜛおでꜜんしゃ
青天井;あꜛおてꜜんじょう
青電話;あꜛおでꜜんわ
青道心;あꜛおどꜜうしん
青菜;あꜛおな
青菜;あꜛおꜜな
青二才;あꜛおにꜜさい
仰のけ;あꜛおのけ
仰のける;あꜛおのけꜜる
青海苔;あꜛおꜜのり
青海苔;あꜛおのり
青葉;ꜛあꜜおば
青葉;あꜛおꜜば
青蠅;あꜛおꜜばえ
青蠅;あꜛおばえ
青蠅;あꜛおꜜばい
青蠅;あꜛおばい
青ばな;あꜛおばな
青洟;あꜛおばな
青ばな;あꜛおꜜばな
青洟;あꜛおꜜばな
青光り;あꜛおびꜜかり
青光り;あꜛおびかり
青票;あꜛおひょう
青びょうたん;あꜛおびょꜜうたん
青瓢箪;あꜛおびょꜜうたん
青膨れ;あꜛおぶくれ
青膨れ;あꜛおぶꜜくれ
青房;あꜛおぶさ
青札;あꜛおふだ
青坊主;あꜛおぼꜜうず
青豆;あꜛおまめ
青豆;あꜛおꜜまめ
青み;あꜛおみ
青み;あꜛおみꜜ
青緑;あꜛおみꜜどり
あおみどろ;あꜛおみꜜどろ
青麦;あꜛおむꜜぎ~
青麦;あꜛおꜜむぎ~
仰向く;あꜛおむꜜく
仰向く;あꜛおむく
あおむけ;あꜛおむけ
あおむけざま;あꜛおむけざま
あおむける;あꜛおむけꜜる
あおむける;あꜛおむける
青虫;あꜛおꜜむし
青物;あꜛおꜜもの
青物市;あꜛおものꜜいち
青物市場;あꜛおものいꜜちば
青森;あꜛおꜜもり
青柳;あꜛおやぎ~
青ランプ;あꜛおらꜜんぷ
あおり;あꜛおりꜜ
あおり;あꜛおり
あおり足;あꜛおりꜜあし
煽る;あꜛおꜜる
呷る;あꜛおꜜる
赤;ꜛあꜜか
銅;ꜛあꜜか
垢;あꜛかꜜ
閼伽;あꜛかꜜ
赤々と;あꜛかあꜜかと
明々と;あꜛかあꜜかと
赤蟻;あꜛかあり
赤い;あꜛかい
赤犬;あꜛかいぬ
赤芋;あꜛかいも
赤色;あꜛかいろ
赤いわし;あꜛかいꜜわし
赤鰯;あꜛかいꜜわし
赤えい;あꜛかꜜえい
赤えぼし;あꜛかえꜜぼし
赤烏帽子;あꜛかえꜜぼし
閼伽桶;あꜛかおꜜけ
赤鬼;あꜛかおに
赤帯;あꜛかおび
赤貝;あꜛかꜜが~い
赤蛙;あꜛかが~ꜜえる
赤樫;あꜛかが~し
赤樫;あꜛかꜜが~し
銅;あꜛかが~ね
あかがね色;あꜛかが~ねいろ
銅色;あꜛかが~ねいろ
赤かぶ;あꜛかかぶ
赤蕪;あꜛかかぶ
赤紙;あꜛかが~み
赤革;あꜛかが~わ
赤がわら;あꜛかが~ꜜわら
赤瓦;あꜛかが~ꜜわら
足掻;あꜛが~きꜜ
足掻;ꜛあꜜが~き
皹;あꜛかぎ~れ
足掻く;あꜛが~ꜜく
赤靴;あꜛかぐ~つ
赤熊;あꜛかぐ~ま
赤黒い;あꜛかぐ~ろꜜい
赤黒い;あꜛかぐ~ろい
赤毛;あꜛかげ~
赤ゲット;あꜛかげ~ꜜっと
赤子;あꜛかご~
赤行のう;あꜛかこꜜうのう
赤行嚢;あꜛかこꜜうのう
赤米;あꜛかご~め
藜;あꜛかざ
赤砂糖;あꜛかざꜜとう
赤さび;あꜛかさび
赤錆;あꜛかさび
赤ざら;あꜛかざら
赤さんご;あꜛかさꜜんご~
赤珊瑚;あꜛかさꜜんご~
明石;ꜛあꜜかし
灯;あꜛかし
証;あꜛかし
赤字;あꜛかじ
赤地;あꜛかじ
アカシア;あꜛかしあ
赤潮;あꜛかしお
垢染みる;あꜛかじみꜜる
赤信号;あꜛかしꜜんご~う
赤新聞;あꜛかしꜜんぶん
飽かす;あꜛかꜜす
明かす;あꜛかす
証す;あꜛかす
証す;あꜛかꜜす
開かず;あꜛかず
飽かず;あꜛかず
飽かず;あꜛかꜜず
飽かず;ꜛあꜜかず
赤ずきん;あꜛかずꜜきん
赤頭巾;あꜛかずꜜきん
垢擦り;あꜛかすꜜり
垢擦り;あꜛかすりꜜ
垢擦り;あꜛかすり
赤大根;あꜛかだꜜいこん
赤だし;あꜛかだし
赤出汁;あꜛかだし
あか棚;あꜛかだな
閼伽棚;あꜛかだな
赤茶色;あꜛかちゃいろ
赤茶ける;あꜛかちゃけꜜる
赤ちゃん;ꜛあꜜかちゃん
赤ちょうちん;あꜛかちょꜜうちん
赤提灯;あꜛかちょꜜうちん
赤チン;あꜛかちん
暁;あꜛかつ*き
暁やみ;あꜛかつ*きꜜやみ
暁闇;あꜛかつ*きꜜやみ
暁やみ;あꜛかつ*きやみ
暁闇;あꜛかつ*きやみ
上がったり;あꜛが~ったꜜり
上がったり;あꜛが~ったりꜜ
赤土;あꜛかつ*ち
赤っ茶ける;あꜛかっちゃけꜜる
アカデミー;あꜛかꜜでみい
アカデミー;あꜛかでꜜみい
アカデミズム;あꜛかでみꜜずむ
アカデミック;あꜛかでみꜜっく
赤点;あꜛかてん
赤電;あꜛかでん
赤電車;あꜛかでꜜんしゃ
赤電話;あꜛかでꜜんわ
赤蜻蛉;あꜛかとꜜんぼ
赤蜻蛉;ꜛあꜜかとんぼ
贖い;あꜛが~なꜜい
贖い;あꜛが~ない
贖う;あꜛが~なꜜう
購う;あꜛが~なꜜう
赤なす;あꜛかなす
赤茄子;あꜛかなす
あか抜け;あꜛかぬけ
垢抜け;あꜛかぬけ
あか抜け;あꜛかぬけꜜ
垢抜け;あꜛかぬけꜜ
あか抜ける;あꜛかぬけꜜる
茜;あꜛかね
あかね色;あꜛかねいろ
茜色;あꜛかねいろ
あかね染め;あꜛかねぞめ
茜木綿;あꜛかねもꜜめん
赤のごはん;あꜛかのごꜜはん
赤の御飯;あꜛかのごꜜはん
赤の他人;ꜛあꜜかのたにん
赤のまんま;あꜛかのまꜜんま
赤恥;あꜛかはじ
赤旗;あꜛかはた
赤肌;あꜛかはだ
赤裸;あꜛかはꜜだか
赤鼻;あꜛかばな
赤鼻;あꜛかはな
赤腹;あꜛかはら
あか光り;あꜛかびꜜかり
垢光り;あꜛかびꜜかり
赤ひげ;あꜛかひげ~
赤髭;あꜛかひげ~
赤髯;あꜛかひげ~
赤房;あꜛかぶさ
赤札;あꜛかふだ
アカペラ;あꜛかぺら
アカペラ;あꜛかꜜぺら
赤帽;あꜛかぼう
赤本;あꜛかほん
赤間石;あꜛかまꜜいし
赤松;あꜛかまつ
赤松;あꜛかꜜまつ
赤身;あꜛかみ
赤み;あꜛかみ
赤味;あꜛかみ
赤みそ;あꜛかみそ
赤味噌;あꜛかみそ
赤むけ;あꜛかむけ
赤剥け;あꜛかむけ
赤紫;あꜛかむらꜜさき
赤目;あꜛかめ
赤芽芋;あꜛかめいも
赤める;あꜛかめꜜる
赤める;あꜛかめる
崇める;あꜛが~めꜜる
崇める;あꜛが~める
赤門;あꜛかもん
赤ら顔;あꜛからが~お
赤ら顔;あꜛからꜜが~お
明からさま;あꜛからさま
明からさま;あꜛからꜜさま
赤らむ;あꜛからꜜむ
赤らむ;あꜛからむ
赤らめる;あꜛからめꜜる
赤らめる;あꜛからめる
赤ランプ;あꜛからꜜんぷ
明かり;あꜛかり
灯;あꜛかり
上がり;あꜛが~り
揚がり;あꜛが~り
上がり降り;あꜛが~りꜜおり
上がりがまち;あꜛが~りが~ꜜまち
上り框;あꜛが~りが~ꜜまち
上がり口;あꜛが~りく*ち
上がり口;あꜛが~りꜜく*ち
上がり口;あꜛが~りぐ~ち
上がり口;あꜛが~りꜜぐ~ち
上がり込む;あꜛが~りこꜜむ
上がり下がり;あꜛが~りꜜさが~り
上がり下がり;あꜛが~りさꜜが~り
明かり障子;あꜛかりしょꜜうじ
上がり高;あꜛが~りꜜだか
上がり高;あꜛが~りだか
上がり段;あꜛが~りだん
上がり段;あꜛが~りꜜだん
明かり取り;あꜛかりꜜとり
明かり取り;あꜛかりとり
上がり場;あꜛが~りば
上がりばな;あꜛが~りばな
上がり端;あꜛが~りばな
上がりふじ;あꜛが~りꜜふじ
上がり藤;あꜛが~りꜜふじ
あかり窓;あꜛかりまꜜど
上がり目;あꜛが~りめ
上がり物;あꜛが~りもの
上がり湯;あꜛが~りゆ
上がり湯;あꜛが~りꜜゆ
上がる;あꜛが~る
揚がる;あꜛが~る
挙がる;あꜛが~る
食がる;あꜛが~る
明るい;あꜛかるい
明るみ;あꜛかるみ
明るむ;あꜛかるꜜむ
赤れんが;あꜛかれꜜんが~
赤煉瓦;あꜛかれꜜんが~
亜寒帯;あꜛかんたい
亜寒帯;あꜛかꜜんたい
あかんべ;ꜛあꜜかんべ
あかんべ;あꜛかんべꜜ
あかんべえ;ꜛあꜜかんべえ
あかんべえ;あꜛかんべꜜえ
赤ん坊;あꜛかんぼう
赤ん坊;あꜛかんぼ
秋;ꜛあꜜき
飽き;あꜛきꜜ
空き;あꜛき
明き;あꜛき
飽き飽きする;あꜛきあꜜき*する
秋味;あꜛきꜜあじ
秋落ち;あꜛきおち
秋風;あꜛき*ꜜかぜ
秋風;あꜛき*かꜜぜ
空き殻;あꜛきが~ら
空き缶;あꜛき*かん
飽き気味;あꜛきぎ~み
飽き気味;あꜛきぎ~ꜜみ
秋草;あꜛきく*さ
秋草;あꜛきꜜく*さ
秋口;あꜛきꜜぐ~ち
空き車;あꜛきぐ~ꜜるま
秋ご;あꜛきご~
秋蚕;あꜛきご~
秋ご;あꜛきꜜご~
秋蚕;あꜛきꜜご~
秋肥;あꜛきご~え
秋作;あꜛき*さく
秋桜;あꜛきざꜜくら
秋さば;あꜛきꜜさば
秋鯖;あꜛきꜜさば
秋寒;あꜛき*さむ
秋雨;あꜛき*さめ
秋雨前線;あꜛき*さめぜꜜんせん
空き室;あꜛきし*つ
飽き性;あꜛき*しょꜜう
空き巣;あꜛき*す
空き巣ねらい;あꜛき*すねꜜらい
空き巣狙い;あꜛき*すねꜜらい
秋空;あꜛきぞꜜら
秋田;ꜛあꜜき*た
秋大根;あꜛきだꜜいこん
秋田犬;あꜛき*たꜜいぬ
秋田犬;あꜛき*たいぬ
秋田犬;あꜛき*たけん
秋田杉;あꜛき*たꜜすぎ~
空きだな;あꜛきだな
空き店;あꜛきだな
飽き足りない;あꜛき*たりない
空きだる;あꜛきだる
空き樽;あꜛきだる
空き地;あꜛき*ち
あきつ神;あꜛき*つꜜかみ
現神;あꜛき*つꜜかみ
あきつ神;あꜛき*つかꜜみ
現神;あꜛき*つかꜜみ
秋津島;あꜛき*つꜜしま
飽きっぽい;あꜛき*っぽꜜい
商い;あꜛきꜜない
商い;あꜛきなꜜい
商い物;あꜛきないもの
商い物;あꜛきないものꜜ
商う;あꜛきなꜜう
秋なす;あꜛきなす
秋茄子;あꜛきなす
秋なす;あꜛきなꜜす
秋茄子;あꜛきなꜜす
秋なり;あꜛきなり
秋生り;あꜛきなり
空き箱;あꜛきばこ
秋場所;あꜛきばしょ
秋晴れ;あꜛきばれ
秋冷え;あꜛきびえ
秋日和;あꜛきびꜜより
空き瓶;あꜛきびん
空き部屋;あꜛきべや
空き間;あꜛきま
秋まき;あꜛきまき
秋蒔き;あꜛきまき
秋祭り;あꜛきまꜜつり
空き店;あꜛきみせ
秋めく;あꜛきめꜜく
秋物;あꜛきもの
秋物;あꜛきꜜもの
空き家;あꜛきや
秋休み;あꜛきやꜜすみ
商人;あꜛきゅꜜうど
亜きょう木;あꜛきょꜜうぼく
亜喬木;あꜛきょꜜうぼく
明らか;あꜛきꜜらか
諦め;あꜛきらめ
諦め;あꜛきらめꜜ
あきらめやすい;あꜛきらめやすꜜい
あきらめる;あꜛきらめꜜる
飽きる;あꜛきꜜる
あきれ返る;あꜛきれかꜜえる
呆れ返る;あꜛきれかꜜえる
アキレス腱;あꜛきれす*ꜜけん
アキレス腱;あꜛきれꜜす*けん
あきれ果てる;あꜛきれはてꜜる
呆れる;あꜛきれる
商人;あꜛきꜜんど
悪;ꜛあꜜく
飽く;ꜛあꜜく
開く;あꜛく
明く;あꜛく
空く;あꜛく
灰汁;あꜛく
あく洗い;あꜛくあꜜらい
灰汁洗い;あꜛくあꜜらい
悪意;ꜛあꜜくい
悪意;あꜛくꜜい
悪因;あꜛくいん
悪運;あꜛくうん
悪影響;あꜛくえꜜいきょう
悪疫;あꜛくえき
悪縁;あꜛくえん
悪感情;あꜛく*かꜜんじょう
悪逆;あꜛくぎ~ゃく
悪行;あꜛくぎ~ょう
悪業;あꜛくぎ~ょう
悪行;あꜛくꜜぎ~ょう
悪業;あꜛくꜜぎ~ょう
悪業;あꜛくご~う
悪妻;あꜛく*さい
悪材料;あꜛくざꜜいりょう
悪事;ꜛあꜜくじ
悪食;あꜛくじき
悪質;あꜛくし*つ
悪疾;あꜛくし*つ
アクシデント;ꜛあꜜく*しでんと
握手;ꜛあꜜく*しゅ
悪手;あꜛく*しゅ
悪臭;あꜛく*しゅう
悪習;あꜛく*しゅう
悪趣味;あꜛく*しゅꜜみ
悪循環;あꜛくじゅꜜんかん
悪所;ꜛあꜜく*しょ
悪書;ꜛあꜜく*しょ
悪所;あꜛく*しょ
悪書;あꜛく*しょ
悪女;ꜛあꜜくじょ
悪性;あꜛく*しょꜜう
悪性;あꜛく*しょう
悪条件;あꜛくじょꜜうけん
アクション;ꜛあꜜく*しょん
悪心;あꜛく*しん
悪心;あꜛく*しꜜん
悪神;あꜛくじん
悪性;あꜛく*せい
悪声;あꜛく*せい
悪政;あꜛく*せい
悪税;あꜛくぜい
齷齪;ꜛあꜜく*せく
アクセサリー;ꜛあꜜく*せさりい
アクセサリー;あꜛく*せꜜさりい
アクセス;ꜛあꜜく*せす
アクセル;ꜛあꜜく*せる
悪銭;あꜛく*せん
悪戦苦闘;あꜛく*せんく*とう
悪宣伝;あꜛく*せꜜんでん
アクセント;ꜛあꜜく*せんと
アクセント辞典;あꜛく*せんとじꜜてん
悪相;あꜛく*そꜜう
悪相;あꜛく*そう
悪僧;あꜛく*そう
悪送球;あꜛく*そꜜうきゅう
芥;あꜛく*た
芥;ꜛあꜜく*た
アクター;ꜛあꜜく*たあ
悪態;あꜛく*たい
悪態;あꜛく*たꜜい
芥川賞;あꜛく*たが~わꜜしょう
悪玉;あꜛくだま
悪たれ;あꜛく*たれ
悪たれ;あꜛく*たれꜜ
悪たれ小僧;あꜛく*たれこぞꜜう
悪たれる;あꜛく*たれꜜる
悪たれる;あꜛく*たれる
悪太郎;あꜛく*たꜜろう
アクティブ;ꜛあꜜく*てぃぶ
悪天候;あꜛく*てꜜんこう
アクト;ꜛあꜜく*と
あくどい;あꜛくどꜜい
悪党;あꜛく*とꜜう
悪投;あꜛく*とう
悪道;あꜛくꜜどう
悪童;あꜛくどう
悪徳;あꜛく*とく
アクトレス;ꜛあꜜく*とれす
飽くなき;あꜛくꜜなき
悪人;あꜛくにん
あく抜き;あꜛくぬき
灰汁抜き;あꜛくぬき
あく抜き;あꜛくぬきꜜ
灰汁抜き;あꜛくぬきꜜ
あく抜き;あꜛくぬꜜき
灰汁抜き;あꜛくぬꜜき
あく抜け;あꜛくぬけ
あぐねる;あꜛぐ~ねꜜる
あぐねる;あꜛぐ~ねる
悪念;あꜛくねん
悪罵;ꜛあꜜくば
悪日;ꜛあꜜくび
悪日;あꜛくꜜび
欠伸;あꜛくび
悪筆;あꜛくひ*つ
悪評;あꜛく*ひょう
悪病;あꜛくびょう
悪病;あꜛくꜜびょう
悪平等;あꜛくびょꜜうどう
悪風;あꜛく*ふう
悪文;あꜛくぶん
悪弊;あꜛく*へい
悪癖;あꜛく*へき
悪報;あꜛく*ほう
悪法;あꜛく*ほう
悪魔;ꜛあꜜくま
飽く迄;あꜛくꜜまで
飽く迄;ꜛあꜜくまで
悪名;あꜛくみょう
悪名;あꜛくꜜみょう
悪夢;ꜛあꜜくむ
倦む;あꜛぐ~ꜜむ
悪名;あꜛくめい
悪役;あꜛくやく
悪友;あꜛくゆう
悪用;あꜛくよう
あぐら;あꜛぐ~ら
悪らつ;あꜛくらつ
悪辣;あꜛくらつ
あぐら鼻;あꜛぐ~らꜜばな
あぐらっ鼻;あꜛぐ~らꜜっぱな
あぐり網;あꜛぐ~りꜜあみ
